Description,Subject,sentiment,tag
This is a brilliant concept. Please start for men's asap,Great product!,2,"["" Please start for men's asap""]"
Brilliant concept :),,2,['Brilliant concept :)']
,,-1,[]
Brilliant stuff!! Waiting to see more..,,1,['']
,,-1,[]
This idea will be considered as one of the top notch idea in near future...the name itself saying how cool and thoughtful people are connected with....feeling honored to be aware about it from its childhood....God bless you prosperity and endless success in your journey ahead...and for it's future users fasten your seat belt to get some awesome stuff ever happened,Excellent,2,['']
,,-1,[]
No spending on buying apparels for gf... Why to buy if u can rent it..!!!,Brilliant ..this is what we needed!!,1,[' Why to buy if u can rent it']
Brilliant idea!! Adorably splendid dresses at such reasonable expenses......its everything a girl could ever desire for (especially the ones like me who hates going on shopping for every lil thing!) Dress....jwellery...accessories... shoes...you name it and they have it!! Loving it already,,2,"['', 'jwellery']"
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
The whole concept looks great. Something to recommend to all your friends.,Awesome app.,2,['']
,,-1,[]
,,-1,[]
Nice UI! Loved the clothes. When are you starting men's??!,Looks like tinder for clothes!,2,"["" When are you starting men's??!""]"
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
Reserving a spot on my phone's home screen for this one!,,1,"[""Reserving a spot on my phone's home screen for this one!""]"
,,-1,[]
,,-1,[]
Waiting for you guys to go live!,Sounds really exciting,1,['Waiting for you guys to go live!']
,,-1,[]
This is gonna be one of the best in the market.. !,This app is gonna rock,2,"['', ' !']"
Can't wait to see more!!,Awesome stuff!!,2,"[""Can't wait to see more!!""]"
,,-1,[]
Something that I wanted always!! Why spend on clothing when I can spend on partying...bring on the sexy dresses!!!!!!,Can't wait!!!,1,"['Something that I wanted always!! Why spend on clothing when I can spend on partying', '']"
I would love to try out!,Brilliant!,2,['I would love to try out!']
Great concept !!,,2,['Great concept !!']
,,-1,[]
,,-1,[]
Can't wait to get started with FlyRobe !!,,2,"[""Can't wait to get started with FlyRobe !!""]"
A must app to suggest your girl friend !,,2,['A must app to suggest your girl friend !']
,,-1,[]
,,-1,[]
Be fabulous at your fingertips now!,Refreshing concept,2,['Be fabulous at your fingertips now!']
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
Please send me an invite to try this @ arjunkw3 (at) gmail (dot) com,Need an invite.,1,['Please send me an invite to try this @ arjunkw3 (at) gmail (dot) com']
One amazing destination!!!,,2,['One amazing destination!!!']
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
What's the access code???I am stuck there!!,Great!!,0,"[""What's the access code???I am stuck there!!""]"
"Nice App, Best destination fashion lovers",,2,"['Nice App, Best destination fashion lovers']"
Stuck in access code,Access code,0,['Stuck in access code']
Quickly send or give an invite code. Email id cutepooja_94@yahoo.com,NEED AN iNVITE,2,"[' Email id cutepooja_94@yahoo', 'com']"
How to get dat,Access code,1,['How to get dat']
,,-1,[]
good one,,2,['good one']
Enjoyed a lot,A very good one,2,['Enjoyed a lot']
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
ððð,Loved it ðð,1,['ð\x9f\x98\x83ð\x9f\x98\x83ð\x9f\x98\x83']
,,-1,[]
Amazing was waiting for this only!!,,2,['Amazing was waiting for this only!!']
This is so awesome!,,2,['This is so awesome!']
,,-1,[]
,,-1,[]
I just love itð,,2,['I just love itð\x9f\x98\x98']
My email Id is vipulakeny@gmail.com,Invite me,1,['com']
,,-1,[]
My email is rishabhsurana91@gmail.com can I please get the access code,How to get the access code?,1,['My email is rishabhsurana91@gmail']
,,-1,[]
,,-1,[]
,,-1,[]
Totally amazing app,,2,['Totally amazing app']
,,-1,[]
,,-1,[]
,,-1,[]
Awesome that's what i wanted!!,,2,"[""Awesome that's what i wanted!!""]"
Awesome app,,2,['Awesome app']
,,-1,[]
,,-1,[]
Loved it,,2,['Loved it']
,,-1,[]
,,-1,[]
Its cool,,2,['Its cool']
,,-1,[]
,,-1,[]
Great concept,,2,['Great concept']
,,-1,[]
Amazing,,2,['Amazing']
,,-1,[]
,,-1,[]
,,-1,[]
Will surely refer to my gf ;),Nice concept,2,['Will surely refer to my gf ;)']
,,-1,[]
In love with the idea!,Awesome,2,['In love with the idea!']
,,-1,[]
"Awesome app, especially for those who like to look fresh every time!",,2,"['Awesome app, especially for those who like to look fresh every time!']"
,,-1,[]
,,-1,[]
Good for ma girlfriend's make over ;),,2,"[""Good for ma girlfriend's make over ;)""]"
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
To. Beloved,Loved it,1,['To']
Loved it,,2,['Loved it']
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
In love with it,,2,['In love with it']
Awsum app helped a lot,,2,['Awsum app helped a lot']
Upload for men also,Loved it,1,['Upload for men also']
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
So colotful,Lovwd it,1,['So colotful']
,,-1,[]
,,-1,[]
Lovwdit,,1,['Lovwdit']
,,-1,[]
,,-1,[]
"I'm glad this thing is now available in India too. Like, FINALLY! Looking forward for the services and styles.",,2,['']
,,-1,[]
,,-1,[]
Look forward to men section,Nice catchy concept,2,['Look forward to men section']
Loved their collection of casual dresses. Also the app is super easy to use! Highly recommend the Flyrobe experience!,Elegant collection,2,"['Loved their collection of casual dresses', ' Also the app is super easy to use! Highly recommend the Flyrobe experience!']"
"My girlfriend tried the service when it had just launched and had a fantastic experience. Picked a dress, had it show up in 3 hours and wore it for a great night out. Highly recommended.",Terrific app and experience,2,['']
Awesome idea !!! Awesome app !!!,,2,['Awesome idea !!! Awesome app !!!']
As heard from horse's mouth please start for men also. ;),Awesome!,2,"[""As heard from horse's mouth please start for men also""]"
"Love the idea! Ordered my first flyrobe and wow!!! Never again will I say ""I've got nothing to wear!"" :D",My wardrobe on the go!,2,"['Love the idea! Ordered my first flyrobe and wow!!! Never again will I say ""I\'ve got nothing to wear!"" :D']"
,,-1,[]
,,-1,[]
Great idea !,,2,['Great idea !']
Easy to navigate! Interface as beautiful as the collection :),Complete Delight!,2,['Easy to navigate! Interface as beautiful as the collection :)']
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
Very promising,Good app,2,['Very promising']
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
Loved the concept!,Brilliant app,2,['Loved the concept!']
What's better than gifting a dress? Gift 10 dresses using Flyrobe,,2,"[""What's better than gifting a dress? Gift 10 dresses using Flyrobe""]"
How do I login. Where is the access code.,,1,[' Where is the access code']
How do I login.... please tell anyone I can't wait to get into this app... but I dnt kno like how to get in.... where is the access code provided?,,1,['How do I login']
"Such a fantastic idea, I love the way it has been implemented. Wonderful app to supplement the experience. I would highly recommend it anyone and everyone. Keep going and all the best team. Looking forward to big success ahead.",Awesome idea and fantastic App,2,['']
how to log in??? access code????,,1,['how to log in??? access code????']
How can i login ?,Something really nice and new,1,['How can i login ?']
I like the concept and I want to use the app. But I need an invite code. Can anyone provide me wyt the invite code to facebookabhijeet@gmail.com ??,,2,['com ??']
What's d use if v can now take access with out access code... N wats d code,,1,"[""What's d use if v can now take access with out access code""]"
,,-1,[]
Nice but y r indian dresses not coming?,,1,['Nice but y r indian dresses not coming?']
Such a brilliant idea!,,2,['Such a brilliant idea!']
How do I login...where is access code,,1,['How do I login']
,,-1,[]
How i will get access code,,1,['How i will get access code']
,,-1,[]
What should I enter for the access code? And I already sent you an email regarding the same.,,1,['What should I enter for the access code? And I already sent you an email regarding the same']
,,-1,[]
,,-1,[]
Hiii management... how do I login inn into the app. My e-mail address is melindarodricks@hotmail.com,Pls help to loginn !!,1,[' how do I login inn into the app']
,,-1,[]
I mailed them at hello@flyrobe.com and I got a quick reply. I am so excited to try app out.,Maitreyee,2,"['I mailed them at hello@flyrobe', '']"
How to access....code?? Eagerly waiting to access. Plz let me know...how to...,,1,['How to access']
,,-1,[]
,,-1,[]
,,-1,[]
I'm not able to login,How do I login,0,"[""I'm not able to login""]"
But how to login.... what is access code..... Plzzzz help....any one Plzzzz tell fast I have not received till now any access code...... when u will send me the code... since 2 hours have passed...,Nice,1,['any one Plzzzz tell fast I have not received till now any access code']
Loved it :),,2,['Loved it :)']
,,-1,[]
,,-1,[]
I luvd d idea....nd d collection....gud goin,,2,['']
Amazing concept,,2,['Amazing concept']
You could have a collection for men's too Shreya. Love the concept superb implementation. I am sure you will make this a phenomenon.,,2,['']
,,-1,[]
,,-1,[]
How do I get d size chart? I m not able to select d retail option on the app....n there is no place to enter the voucher codes. ..Please do help at d earliest,,1,['n there is no place to enter the voucher codes']
and up to what tyming we have to return,what r d return policy???,1,['and up to what tyming we have to return']
But m not able to place order.and how to place order for bags?,Good app,1,['and how to place order for bags?']
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
I have trouble accessing to d special dresses for occasions...also do you offer traditional wear for rent?,,1,"['I have trouble accessing to d special dresses for occasions', '', 'also do you offer traditional wear for rent?']"
Finally this concept in India.,Great App,1,"['Finally this concept in India', '']"
,,-1,[]
Dsnt install on my phone ð£ please help out,,1,['Dsnt install on my phone ð\x9f\x98£ please help out']
Keeps on throwing error 504.,Error,0,['Keeps on throwing error 504']
,,-1,[]
Dont you give traditional indian dresses on rent?,,0,['Dont you give traditional indian dresses on rent?']
"It's not getting installed bcz of this "" error code -504 ..it's saying",,0,"['It\'s not getting installed bcz of this "" error code -504 ']"
You guys are saviours. My superheros.,Superheroes!,1,['']
,,-1,[]
,,-1,[]
Plz Come to delhi also!,,1,['Plz Come to delhi also!']
,,-1,[]
,,-1,[]
Can we have option of rent / buy ?,,1,['Can we have option of rent / buy ?']
I can't open reserve categories.I really want to c traditional outfits plz help,,1,"[""I can't open reserve categories""]"
,,-1,[]
,,-1,[]
,,-1,[]
"Really team, hats off to you guys with starting of this app, this can help many people in different ways.",,2,['']
,,-1,[]
,,-1,[]
Installed it and it simply gets stuck. Cant see anything.,Slowest app ever!!!!!,0,['Installed it and it simply gets stuck']
Do you ship to Delhi?,,1,['Do you ship to Delhi?']
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
Finally something like this in India. Waiting for the traditional outfits!!,Amazing!,2,['Finally something like this in India']
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
Beautiful app,Excellent!,2,['Beautiful app']
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
Nice to see,nikki,2,['Nice to see']
