Description,Subject,sentiment,tag
Great to use really cool I don't have any problem in using this application at all totally love using this app,,2,"[""Great to use really cool I don't have any problem in using this application at all totally love using this app""]"
Absolutely one of the coolest applications for getting cloth online I totally recommend you to use this app this one has all the great production at,Loved it,2,['Absolutely one of the coolest applications for getting cloth online I totally recommend you to use this app this one has all the great production at']
Open has been so much fun with this application you will be amazed at how good it is definitely try this one,,2,['Open has been so much fun with this application you will be amazed at how good it is definitely try this one']
Love to use their services this has been one of the most useful applications for online shopping this is definitely awesome,,2,['Love to use their services this has been one of the most useful applications for online shopping this is definitely awesome']
Lovable application with so many great product it is one of the biggest online stores available out there definitely have to try this one,,2,['Lovable application with so many great product it is one of the biggest online stores available out there definitely have to try this one']
absolutely stunning application with lot of cool clothes that you cannot find anywhere else great for renting clothes online,Loved it,2,['absolutely stunning application with lot of cool clothes that you cannot find anywhere else great for renting clothes online']
Application lot of cool services that you cannot find anywhere else this application is totally awesome,,2,['Application lot of cool services that you cannot find anywhere else this application is totally awesome']
Renting all kinds of cloth is so easy with the apP for absolutely delighted to find so many great application services here,Fake,2,['Renting all kinds of cloth is so easy with the apP for absolutely delighted to find so many great application services here']
for if I am short of any accessories or if I don't have the appropriate where I go for this app this is absolutely lovable,Nice app,2,"[""for if I am short of any accessories or if I don't have the appropriate where I go for this app this is absolutely lovable""]"
Cool app that services have a better and very professional do I would definitely have fun using this application again and again,,2,['Cool app that services have a better and very professional do I would definitely have fun using this application again and again']
Ring products very professional delivery I love to use their services on the time,Loved it,2,['Ring products very professional delivery I love to use their services on the time']
renting so many clothes is easier with this application love to use this app for all search great servicesrenting so many clothes is easier with this application love to use this app for all search great renting so many clothes is easier with this application love to use this app for all search great services so many clothes is easier with this application love to use this app for all search great services,renting so many clothes is easier with this application love to use this app for all search great services,2,['renting so many clothes is easier with this application love to use this app for all search great servicesrenting so many clothes is easier with this application love to use this app for all search great renting so many clothes is easier with this application love to use this app for all search great services so many clothes is easier with this application love to use this app for all search great services']
Very nice collection,Nice,2,['Very nice collection']
,,-1,[]
,,-1,[]
,,-1,[]
,,-1,[]
Ideal application for all the online shopping services you would be stand to use this application for all the breakup of a,,2,['Ideal application for all the online shopping services you would be stand to use this application for all the breakup of a']
One of the best applications of all the online shopping The Deals And discounts are offered from time to time really amazing,,2,['One of the best applications of all the online shopping The Deals And discounts are offered from time to time really amazing']
Rental clothes in services are really good the help you to save a lot of money I really saved a lot with this application,,2,['Rental clothes in services are really good the help you to save a lot of money I really saved a lot with this application']
Absolutely stunning as I totally love it they have so many cool products and Deals And discounts available from time to time this is really awesome to use,,2,['Absolutely stunning as I totally love it they have so many cool products and Deals And discounts available from time to time this is really awesome to use']
Great to use one of the most useful application online shopping can never be so much easier with the SAP it is really cool and awesome,,2,['Great to use one of the most useful application online shopping can never be so much easier with the SAP it is really cool and awesome']
Very good app,Good,2,['Very good app']
Interesting application with lot of great Deals And discount I totally love the services and greet products to,Loved it,2,['Interesting application with lot of great Deals And discount I totally love the services and greet products to']
cloth is visual helps you to save a lot of time and efforts to one of the coolest applications that I ever found online,Useful,2,['cloth is visual helps you to save a lot of time and efforts to one of the coolest applications that I ever found online']
Awesome application With The Deals And discounts have a better than you can expect the provided me with lot of whole clothes to,,2,['Awesome application With The Deals And discounts have a better than you can expect the provided me with lot of whole clothes to']
Simply awesome to use I have been using this one for quite a long time and this application is way better than any other shopping app like roposo,,2,['Simply awesome to use I have been using this one for quite a long time and this application is way better than any other shopping app like roposo']
Delightful of experience has been one of my coolest applications ever since I got this one I'd never go for any other App,Great app,2,"[""Delightful of experience has been one of my coolest applications ever since I got this one I'd never go for any other App""]"
Amazingly wonderful day provided me with so many deal that are quite wonderful this application is definitely awesome,,2,['Amazingly wonderful day provided me with so many deal that are quite wonderful this application is definitely awesome']
Great Deals And discount at very cheap prices you can get so many clothes that you cannot find anywhere else,Chandan,2,['Great Deals And discount at very cheap prices you can get so many clothes that you cannot find anywhere else']
Delightful application be better than any other App like roposo organic they provide with lot of great deal it cannot find anywhere as,,2,['Delightful application be better than any other App like roposo organic they provide with lot of great deal it cannot find anywhere as']
Treat rental services Best International brands and designer where is available for special occasion you need not bite you can just rented,,2,['Treat rental services Best International brands and designer where is available for special occasion you need not bite you can just rented']
Ideal application for people who would love to save a lot of money this application comes in quite handy they have so many great Deals And discount going on from time to time,,2,['Ideal application for people who would love to save a lot of money this application comes in quite handy they have so many great Deals And discount going on from time to time']
Products at very good deals and discounts online rental services that like you have never seen before this application is absolutely stunning,,2,['Products at very good deals and discounts online rental services that like you have never seen before this application is absolutely stunning']
Awesome to use quite lovable they provide with lot of great clothes and amazing services at one place,Kk,2,['Awesome to use quite lovable they provide with lot of great clothes and amazing services at one place']
Best application to get so many brands and everything at cheaper prices you can definitely go for the ApP,,2,['Best application to get so many brands and everything at cheaper prices you can definitely go for the ApP']
Fitted wardrobe they provide with lot of great brands which are quite costly to buy from anywhere else this application is really wonderful,,2,['Fitted wardrobe they provide with lot of great brands which are quite costly to buy from anywhere else this application is really wonderful']
Cool application there services are way better than expected this is absolutely stunning,,2,['Cool application there services are way better than expected this is absolutely stunning']
Great application experience it has been so wonderful so far totally loving this app,,2,['Great application experience it has been so wonderful so far totally loving this app']
best application totally lovable I am amazed at how good it is this is my 1 favourite application for online shopping,,2,['best application totally lovable I am amazed at how good it is this is my 1 favourite application for online shopping']
Work so easily rent Western and ethnic wear all at one place this one is really stunning and easy to use best for all the people who would love to shop online,,2,['Work so easily rent Western and ethnic wear all at one place this one is really stunning and easy to use best for all the people who would love to shop online']
Definitely one of the favourite online shopping store available out there this one provide you with all the things Quote at one place,Superb,2,['Definitely one of the favourite online shopping store available out there this one provide you with all the things Quote at one place']
Best application for all the great shopping serials how to use this one it has lot of good product at very cheap prices,,2,['Best application for all the great shopping serials how to use this one it has lot of good product at very cheap prices']
The user interface of flyrobes is way better help you to get all the rental clothes at very cheap prices really awesome,,2,['The user interface of flyrobes is way better help you to get all the rental clothes at very cheap prices really awesome']
Application has so many great Deals And discount going on from time to time really best for online shopping,,2,['Application has so many great Deals And discount going on from time to time really best for online shopping']
Easy to get all the great clothes and services at one place definitely one of the coolest applications available out there,,2,['Easy to get all the great clothes and services at one place definitely one of the coolest applications available out there']
It has been wonderful experience all the best of international brands and designer where is available at the fraction of MRP you can get everything so quickly,,2,['It has been wonderful experience all the best of international brands and designer where is available at the fraction of MRP you can get everything so quickly']
Amazing deals I am loving this application because of how good it is this application provided me with lot of great deals at one place,,2,['Amazing deals I am loving this application because of how good it is this application provided me with lot of great deals at one place']
,,-1,[]
Delightful application experience wonderful online shopping for this application if you would like online shopping a lot,,2,['Delightful application experience wonderful online shopping for this application if you would like online shopping a lot']
Ideal application for so many days this is my most tried and tested application totally love it very cool and awesome,,2,['Ideal application for so many days this is my most tried and tested application totally love it very cool and awesome']
Quite a wonderful application provides me with lot of things that I cannot find anywhere else this is my go to application for all the great Deals And discounts totally awesome and cool,,2,['Quite a wonderful application provides me with lot of things that I cannot find anywhere else this is my go to application for all the great Deals And discounts totally awesome and cool']
So much easy to use this application I love to use that services this application has been absolutely delightful for renting clothes So much easy to use this application I love to use that services this application has been absolutely delightful for renting clothes,,2,['So much easy to use this application I love to use that services this application has been absolutely delightful for renting clothes So much easy to use this application I love to use that services this application has been absolutely delightful for renting clothes']
IT is an application really good online shopping has been so much wonderful with this one totally love it really cool,,2,['IT is an application really good online shopping has been so much wonderful with this one totally love it really cool']
Ideal application in terms of usage you would love to use this one it is really cool and awesome,,2,['Ideal application in terms of usage you would love to use this one it is really cool and awesome']
,,-1,[]
Best application provides me with lot of weight Deals And discount online shopping is way better it has been really wonderful to uses application for all the shopping services,,2,['Best application provides me with lot of weight Deals And discount online shopping is way better it has been really wonderful to uses application for all the shopping services']
Rental Flats and services which are they better than any other applications like voonika raposo you have to definitely try this app really wonderful,,2,['Rental Flats and services which are they better than any other applications like voonika raposo you have to definitely try this app really wonderful']
