Description,Subject,sentiment,tag
i had referred thee flyrobe app to one of my friend and we both got rs600 coupoun .best app the flyrobe is .,,2,['']
"i love you flyrobe , you are the best .great app .highly recommended app .",,2,['']
thank you to flyrobes who mad women shopping more easy .all the brands and designers wears are available on rent .best app the flyrobe is .,,2,['']
i am using the flyrobe app since a very long time and i had awesome expreience with it .i just love the flyrobes app .,Nice app,2,['']
aweosme app with super awesome collection of clothes .the best app for all the women shopping .,,2,['']
i had never came across such fantastic app .i had ordered a kurta and i was amazed to see such such fast delivery .it was delivered within 3 hours .great app .,,2,"['it was delivered within 3 hours ', '']"
"the best ever shopping app the flyrobe is .i was searching for a designer kurta online .but wherever i saw it the prie of the kurta was very high .but thenwhen i saw thee same kurta on the flyrobes app ,i was happy to see it , also the price was of the kurta was very much low as compared to the one i saw on the other shopping apps .best shopping app ever .",,2,['']
my experience with flyrobes has been the best till date .i never had such amazing experience with any other shopping app .great app .,,2,['']
big thank you to flyrobes .you were always there for me when i needed clothes urgently .best app .,Superb,2,['']
"need clothes on rent?andd that too at your door step?do use the flyrobes app , it is one of the best online shopping apps which i had come across .",,2,['']
"I had ordered an ethnic gown for my sister's wedding. The moment it was delivered, I fell in love with it! The fitting was done perfectly. And laundered nicely. The security deposit was refunded on time. Awesome experience! Keep up the good work guys!!",,2,[' The security deposit was refunded on time']
,,-1,[]
I want the services to be extended to guwahati,,1,['I want the services to be extended to guwahati']
,,-1,[]
I lIke it...,Awosam,1,['']
Solar product filters for colour price everything brands also really grade and easy for women shopping.,,2,['']
"I have tried many online shopping sites like roposo , voonik , koovs but none of them made me happy and also the quality of the clothes were not so good so i had to return it . Then i just saw this app called flyrobe on the pop ups ad ,so i thought of downloading it and browsed it a little , i loved the idea of renting clothes as buying designer outfits is way too expensive , and they provided such outfits on rent . Great app !",Nice Shopping App,1,"['I have tried many online shopping sites like roposo , voonik , koovs but none of them made me happy and also the quality of the clothes were not so good so i had to return it ']"
All the designer lovers just download the flyrobe app as it has the best collection of designer outfits at very reasonable prices .,,2,['']
Great app with great offers as well . I love it .,,2,['']
"Highly recommended app to all the fashion lovers out there , you get clothes on rent and also wide range of choices . Amazing app . I love it .",,2,['']
I had seen cute sweat shirts on flyrobe and was thinking of buying them as i wanted to wear it for a trip . i then rented the sweatshirt for 8 days . Great help !,,2,[' i then rented the sweatshirt for 8 days ']
"I had once purchased a crop top on voonik , but the quality of the cloth was not as good as i had expected it to be , but when i ordered the same on flyrobe and that too on rent ,i was much satisfied seeing the quality of the cloth .Good job Flyrobes !",,2,"['I had once purchased a crop top on voonik , but the quality of the cloth was not as good as i had expected it to be , but when i ordered the same on flyrobe and that too on rent ,i was much satisfied seeing the quality of the cloth ']"
Looks like something wrong grappr not fulfilled promised all reviews and rating are not paid and positive,,0,['Looks like something wrong grappr not fulfilled promised all reviews and rating are not paid and positive']
Too good to use the flyrobe app is . In love with the collection of clothes in the app . Would surely recommend all about the app as it is the best !,,2,['Too good to use the flyrobe app is ']
Would recommend this app to all as it is India's most amazing shopping apps I have come across . love this app to the core .,,2,['']
I needed tuxedo for my brother but we did not get any as the fittings were not proper in all the shops and online shopping apps . One of his friend's suggested us to try the flyrobe app and the tuxedo which we rented was so good with such good fitting that now we only rent clothes from flyrobe .,,1,['I needed tuxedo for my brother but we did not get any as the fittings were not proper in all the shops and online shopping apps ']
