Description	Subject	sentiment	tag
Excellent This idea will be considered as one of the top most idea in near future...the name itself saying how cool and thoughtful people are connected with ...Can't wait!!! Something that I wanted always!! Why spend on clothing when I can spend on partying.Flyrobe Which really make me feel special. Amazing Concept which make girls to solve the day to day problem of wearing outfit on occasion and to be perfect on her occasion, Not only perfect but very especial. Its help WOMEN to wear such pretty branded dress at reasonable rate. Best part of the outfit is its steam ironed and presented in well manner which really look good and also hygienic, About the services punctuate during delivery and Pick up.		2	['']
Awesome collection	Flyrobe	2	['Awesome collection']
Hi, this is really help full warehouse we can find drss online and take it on rent with low amount ... Thanku flyrobe	Nice app and good company	2	['']
		-1	[]
		-1	[]
Loved it		2	['Loved it']
beautiful feedback , But only one FLYR0BE is is enough for a beautiful services. ..............	Awes0me service FLYR0BE.COM	1	[' ', '']
FLYR0BE is outfit beautiful but ours is my favorite Rent FLYR0BE.C0M	Super	2	['C0M']
Loved the dresses, the services and the customer care is so helpful, taking the extra step to help, esp Farhin :) thank you Flyrobe!		2	['Loved the dresses, the services and the customer care is so helpful, taking the extra step to help, esp Farhin :) thank you Flyrobe!']
		-1	[]
Best place to rent high end dresses In a very reasonable prices..... service is Awesum and colllection of all dresses are to live by!!! Must.Must.Must to alll you ladies ...... ;)	Awesome conceptðI Loved the collection, anf super price though..	2	['']
		-1	[]
		-1	[]
		-1	[]
		-1	[]
Osam callection in flyrobe and super app	Love flyrobe service	2	['Osam callection in flyrobe and super app']
		-1	[]
Great experience!		2	['Great experience!']
Saw it on Instagram, loved it and downloaded the app immediately. Also logged in from FB, now it's taking forever to load the homepage. Why is it that slow.. How will I check out dresses and order, if homepage will take so much time to load??	Home page taking forever to load	1	[" Also logged in from FB, now it's taking forever to load the homepage"]
		-1	[]
Anarkali was fab... Outfit was as good as a new outfit.. Well packed .. Fitting was just proper as per my size ... Top of dat... Wearing designer outfit gave me feeling like a DIVA as got a lot of compliments... Experience was amazing... Will definitely order again...		2	['']
Ordered a lehenga for my best frd's wedding, very well customized.... Dress was perfectly altered.. People were really curious to know that where I get it from... Awesome experience ... Lots of love to flyrobe.. Thanks for making my event fab.. :)	Nice!	2	['']
Had superb experience with you guys, very well customized. Loads of love :)	Amazing	2	['Had superb experience with you guys, very well customized', ' Loads of love :)']
		-1	[]
