Description	Subject	sentiment	tag
Download flyrobe app and stay upto date with the latest styles and the best of designer wear. The app is best for women shopping. I am totally satisfied with the quality of outfits.		2	['']
One of the better women shopping is flyrobe app i would say. My experience with flyrobe app for women shopping was very satisfying. Amazing app with cool offers.		2	['']
People there are many women shopping apps are available on play store like koovs , asos , voonik , roposo and many more but among all the flyrobe is best app to rent clothes.		2	['']
		-1	[]
All you need to do first is download the app in your smart phone to see it's more than 1000 styles collection for women shopping. I am a happy buyer of the app.All you need to do first is download the app in your smart phone to see it's more than 1000 styles collection for women shopping. I am a happy buyer of the app.All you need to do first is download the app in your smart phone to see it's more than 1000 styles collection for women shopping. I am a happy buyer of the app.		2	['']
Not only me but also my friends were tried the flyrobe app for renting designer outfits online and I found the collection over here was fabulous. Amazing app.		2	['']
For my every occasion i need new dreess to wear and do not want to purchase such a dress at high price. So my brother suggested me flyrobe app and now i am happily renting clothes from it.For my every occasion i need new dreess to wear and do not want to purchase such a dress at high price. So my brother suggested me flyrobe app and now i am happily renting clothes from it.		1	['For my every occasion i need new dreess to wear and do not want to purchase such a dress at high price']
Thank you so much flyrobe app. My dress for a new cocktail party is now just a click away. best app for women shopping rather than voonik and roposo.		2	['']
		-1	[]
The flyrobe app includes Sarees , Lehenga Sarees , an Anarkali , a Gown and many more dsigner outfits for women shopping. It is very simple to use plus free of cost available.		2	['']
The flyrobe app offers absolutely classic collection of western outfits. Curated collections of this app i love a lot. Koovs , asos are nothing in front of flyrobe app.		2	[' Koovs , asos are nothing in front of flyrobe app']
Wonderful		2	['Wonderful']
The flyrobe app provides clothes on rent for women and the men both. I am so much satisfy with delivery and customer care service which is offerd by flyrobe than voonik.		2	['']
I just saw the collection of the outfits and i loved it. It is a definitely one of the best online women shopping app. I have using it from a long time and now i am happy use of it.		2	['']
The flyrobe app takes women shopping to a whole new level. Here i got some trendy and best-in-class western and ethnic wear collection for wich i was looking. I like the app.		2	['']
This app saves my lot of time and also provides me cool and trendy outfits on rent. Accoriding to me it is a fantastic place for rent clothes from.		2	['']
There are few better shops to rent clothes among all them flyrobe app is one. It bringing the concept of hassle-free renting clothes rather than buying it. Koovs is not better than flyrobe.		1	[' It bringing the concept of hassle-free renting clothes rather than buying it']
This is a great women shopping where you can find all outfits on rent as per your need. And people don't worry the app is free of cost available on play store.		2	['']
you will always be amazed to see such awesome customised fitting and best quality clothes on flyrobes which are always unique than koos for such unbelievable price you csn save a lot for other purposes		2	['you will always be amazed to see such awesome customised fitting and best quality clothes on flyrobes which are always unique than koos for such unbelievable price you csn save a lot for other purposes']
Very much thank you flyrobe app for offering us diverse range of outfits. I like to use you for renting clothes. Yoy are the best place for women shopping. I like you.		2	['']
The flyroe app offers more than 1000 styles for women shopping such feature i did not found in asos and voonik app. It is fantastic place for rent clothes from.		2	['The flyroe app offers more than 1000 styles for women shopping such feature i did not found in asos and voonik app', '']
Very grateful to the makers of this app ,was really made one classic app for womens shoopin name called flyrobe. Iam highly impressed with the offers and deals which flyrobe gives.		2	['']
When i see the rental price, it look like price of dress. Too costly..		1	[' Too costly']
		-1	[]
		-1	[]
		-1	[]
For all the new people Use 2CTF1HY to get discount		2	['For all the new people Use 2CTF1HY to get discount']
flyrobes is really a wonderful app for all types of party goers who doesnt want to break their bank but still get awesome clothes to wear on a daily basis.		2	['']
Actually i was waiting if someone could come up with this kind of app or not? But the flyrobe app i found and my dream came true. I just using this app to rent clothes from.		1	['']
		-1	[]
All is so easy here like to rent clothes make payment, select size etc. particularly for this reason i love the app most. As per me it is the best place for women shopping.		2	['']
Actully i never use the any app for shopping. But one of my friend suggested me the flyrobe app and i was tottaly amazed when i first time saw the app. Thank you friend for app. i never use the any app for shopping. But one of my friend suggested me the flyrobe app and i was tottaly amazed when i first time saw the app. Thank you friend for app.Actully i never use the any app for shopping. But one of my friend suggested me the flyrobe app and i was tottaly amazed when i first time saw the app. Thank you friend for app.		1	['Actully i never use the any app for shopping']
all the women who love to shop online or want to stay updated with the latest styles and trends must download the flyrobe app in their mobile phones. I love the app.		2	['']
Among all other women shopping apps flyrobe is only one app which is used by the most of the people. great app i must say. I love it`s whole collection.		2	['']
Any type of of clothe and for any purpose you can able to rent form flyrobe app. Me and all my friends already downloaded the app. We found that flyrobe is best app than voonik.		2	['']
App is very useful for the people who are frequently want to attend any party or wedding and they wont want to buy designer outfits. As this app is best for rent clothes		2	['App is very useful for the people who are frequently want to attend any party or wedding and they wont want to buy designer outfits']
As the flyrobe app fully packed with the clothes collection so it makes easy to rent clothes through it. It is too good app among all other women shopping apps .		2	['']
Best app i ever came across on playstore, for women shopping is not a asos and koovs but it is a flyrobe app. It has lots of features and satisfactory collection for shopping.		2	['']
Before downloading the flyrobe app i always needed to go to an mall or market to buy somthing cool for attending office party, But when i heared about this app i downloaded it and start renting clothes from it.		1	['Before downloading the flyrobe app i always needed to go to an mall or market to buy somthing cool for attending office party, But when i heared about this app i downloaded it and start renting clothes from it', '']
best in class app for renting clothes from rather than koovs app this flyrobe app is. Now it`s become my favourite shopping destination. Amazing collection of clothes are available here.		2	['']
The best app for online womesh shopping . i had suggested this app to all my friends , now my friends also happy user of this flyrobe app .		2	['']
Classic app flyrobe to rent clothes through it. I am using the flyrrobe app in a phone. Now it`s my favourite online fashion store to do women shopping. Amazing app.		2	['']
Due to flyrobe app i have no more purchase expensive outfits now i just renting such outfits at low price. Everything in the app i love most. Cool application.		2	['']
excellent app flyrobe is. One of the best app for fulfilling your online shopping means clothes renting requirements at a one place. I use the app many time to rent clothes.		2	['']
I just love renting designer and branded clothes through this flyrobe app only. The tagline of the app is so perfect. Amazing app for womes shopping I would say.		2	['']
Flyrobe app is highly recommended to all the shopping lovers. A big thanks to your developer my belved flyrobe women shopping app. You customer care service is also good.		2	['']
Flyrobe app thank for your Wonderful collection and amazing offers. I love your ultra-modern traditional outfits collection both. undoubtedly it is the best women shopping app.		2	['']
Flyrobe has been an wonderfull app till now for the purpose of to rent clothes at affordable price. I love suggested the flyrobe app to all my friends. Grat app.		2	['']
Forever Best experience is few days back there was a party in my office and this is my experience by using flyrobe immediately had to get ready for the party and I did not have a dress with me so I rented it from this application and got it so immediately the service was really really good and I was surprised and my office colleagues also equally surprised at the quality and the great clothes that I got thank you so much flyrobe for making such a great day for me.		2	['']
Friends I have not seen better quality women shorts on koovs and asos. But i find some curated and satisfactory collection here i.e in the flyrobe app. Grat app with cool features.		2	['Friends I have not seen better quality women shorts on koovs and asos', '']
For the mobile users and all busy people this app is best which name is flyrobe. It is my favourite online shopping app. Now i am not going to see other apps like voonik and roposo.		2	[' Now i am not going to see other apps like voonik and roposo']
For all of us women shopping become one easy task. I am able to save so much money as well as my time just because of you flyrobe app. I love your idea of rent clothes.		2	['']
Flyrobe is a best app till date to keep a proper upto date with the latest styles and designer wear too. I love using the whole app in my phone.		2	['']
Hey, finally i get the app for whcih i was looking from a long time. It offers a reliable secure and satisfactory shopping experience to me than voonik and roposo.		2	['']
I am fully Satisfied with Delivery and of outfits quality which i rented from the flyrobe app. It is a always my first beloved app than any other app.		2	['']
I only use flyrobe app rather than voonik and roposo for shopping. This app provides very classic customer service. I had already tried the flyrobe app now its your turn my friends.		1	['I only use flyrobe app rather than voonik and roposo for shopping', ' I had already tried the flyrobe app now its your turn my friends', '']
I can asure that their is no any other app have a such super satisfactory collection like falyrobe app. It is the best app for women shopping and men shopping too.		2	['']
this can be surely amazing application that really operates for me. the perfect way to get ran ban polazied.		2	['']
I have a happy online shopping experience with the flyrobe app. I rented a shorts for my special day from flyrobe app. It was a really cool and trendy. I love it.		2	['']
You can also get premium designer brands from this application for renting so expensive clothes are available so easily		2	['You can also get premium designer brands from this application for renting so expensive clothes are available so easily']
I have been using the app and it does not crash or unfortunately stops working messages shows me like roposo and koovs app. Collection of clothes made me their user.		1	['I have been using the app and it does not crash or unfortunately stops working messages shows me like roposo and koovs app']
I have recommended the flyrobe app to most of my friends who love to wear new dress. The app is best app for renting clothes. It has a super cool collection than voonik app.		2	['']
As per my me , koovs and roposo do not have such bunch of outfits collection. As flyrobe app provides clothes on rent plus all as per latest fashion trends and at affordable price too.		2	['']
I like everything in the app. Collection is really nice on efor mens and womens too. I have not idea that it is such a good for rent clothes at affordable price.		2	['']
I love this app, as it helps to rent clothes and keeps me upadted with style tips from fashion experts. Love you than koovs app. Youe outfits collection is really awesome.		2	['']
I many time avail it`s best deals, discounts and other offers too. Here i could rent clothes at reasonable prices so that i save my lot of money and time too.		2	['']
Good		2	['Good']
I rented a one Jacket with the flyrobe app and it was so gorgeous that not only me but also all my family love it. Thank you flyrobe app helping us.		2	['']
