Description	Subject	sentiment	tag
Got grade shoes of great brand from the application for free they provided the first rental for free and I will absolutely Avenger		2	['Got grade shoes of great brand from the application for free they provided the first rental for free and I will absolutely Avenger']
Liked it..	Nyc collections..	2	['']
Great application love the user interface just rented as many times as you want it has great collections		2	['Great application love the user interface just rented as many times as you want it has great collections']
Whenever you wish to buy clothes then you need to stop and think if it's really necessary but otherwise I can rent it from new		2	["Whenever you wish to buy clothes then you need to stop and think if it's really necessary but otherwise I can rent it from new"]
If You're Never in need of wedding clothes online you should be absolutely using this application that has a lot of great services and everything is available so easily		2	["If You're Never in need of wedding clothes online you should be absolutely using this application that has a lot of great services and everything is available so easily"]
Cool rental where collection you will be amazed at the number of people giving good reviews it is that good		2	['Cool rental where collection you will be amazed at the number of people giving good reviews it is that good']
Application to not provide you so many great Deals And discounts and also it is so much easier to get new new types of clothes Avery time you want to go outside		2	['Application to not provide you so many great Deals And discounts and also it is so much easier to get new new types of clothes Avery time you want to go outside']
Whenever I need anything like a dress for a single event I know and I don't want to spend a lot I can use this application so easily		2	["Whenever I need anything like a dress for a single event I know and I don't want to spend a lot I can use this application so easily"]
Recently had to attend a wedding in what anarkali dress to wear and network provider paper for me to spend time and effort to buy online instead of that I used this application to rent because Saturday. Made my day I'll look so beautiful at the wedding it was really amazing		1	['Recently had to attend a wedding in what anarkali dress to wear and network provider paper for me to spend time and effort to buy online instead of that I used this application to rent because Saturday']
NetApp keep up the job you guys you have been providing a great server and the customer service is also very helpful thank you so much		2	['NetApp keep up the job you guys you have been providing a great server and the customer service is also very helpful thank you so much']
It applications really funk it up it is real girl great service and the dress material is also absolutely amazing		2	['It applications really funk it up it is real girl great service and the dress material is also absolutely amazing']
Apoda come across pass for women clothing very beautiful application		2	['Apoda come across pass for women clothing very beautiful application']
Phantom collection you will be amazed to get whatever you want at a very cheap and low price		2	['Phantom collection you will be amazed to get whatever you want at a very cheap and low price']
very only and the interface looks really cool cool collection of clothes to it comes in very handy when you need to buy anything		2	['very only and the interface looks really cool cool collection of clothes to it comes in very handy when you need to buy anything']
This rental service away is available in so many cities I would absolutely love to try and it has a very great concept and the application is also so great to use		2	['This rental service away is available in so many cities I would absolutely love to try and it has a very great concept and the application is also so great to use']
Pocket friendly and I'm using this application so many times for the past 3 weeks to get all the clothes and everything for wedding I had to attend it was really great	good	2	["Pocket friendly and I'm using this application so many times for the past 3 weeks to get all the clothes and everything for wedding I had to attend it was really great"]
The visual appeal of the clothes and everything Matches and it is absolutely amazing to use you can be happy and satisfied with the services it is really that good		2	['The visual appeal of the clothes and everything Matches and it is absolutely amazing to use you can be happy and satisfied with the services it is really that good']
Save money and have fun at the same time so S application rent clothes instead of buying clothes for applications like roposo this is so much better		1	['Save money and have fun at the same time so S application rent clothes instead of buying clothes for applications like roposo this is so much better']
You can actually rent clothes for amazing cheap prices and get only the clothes that you need on a daily basis this helps in saving a lot of money		2	['You can actually rent clothes for amazing cheap prices and get only the clothes that you need on a daily basis this helps in saving a lot of money']
How much cheaper and better you can absolutely use it for 1 of product that you don't use much		0	["How much cheaper and better you can absolutely use it for 1 of product that you don't use much"]
One of my best experiences in use pplication for fat I had to immediately go out on the evening for a wedding and I did not know about it I tried to rent clothes from this application and the product was delivered so soon it was absolutely a perfect fit and I enjoyed wearing at and the amount spent on it was also really chief great to use switch applications		2	['One of my best experiences in use pplication for fat I had to immediately go out on the evening for a wedding and I did not know about it I tried to rent clothes from this application and the product was delivered so soon it was absolutely a perfect fit and I enjoyed wearing at and the amount spent on it was also really chief great to use switch applications']
Free delivery they provide you a lot of good products at very cheap prices happy to use that	Woww	2	['Free delivery they provide you a lot of good products at very cheap prices happy to use that']
Really wonderful application my only worry is that you need to expand really fast it is such a great application that I would love everyone to use a		2	['Really wonderful application my only worry is that you need to expand really fast it is such a great application that I would love everyone to use a']
Job application provides a lot of great experiences I am definitely going to use it application again and again		2	['Job application provides a lot of great experiences I am definitely going to use it application again and again']
Amazing application great quality products are available at really cheap prices absolutely need to downloaded Android for yourself makes a lot of difference		2	['Amazing application great quality products are available at really cheap prices absolutely need to downloaded Android for yourself makes a lot of difference']
Affordable and good quality product if I can rent it why why there is a great Motto and I am never going to use any other application again		2	['Affordable and good quality product if I can rent it why why there is a great Motto and I am never going to use any other application again']
Save a lot of my expenses stop Better by only once and never use March this application is great for such clothes		2	['Save a lot of my expenses stop Better by only once and never use March this application is great for such clothes']
Have been using this application for quite a long time now and completely satisfied with that they provide a lot of good quality stuff	Good	2	['Have been using this application for quite a long time now and completely satisfied with that they provide a lot of good quality stuff']
Whatever I buy is easily available at this application for rent that is why I stop buying for applications like voonik roposo and started renting it from here		1	['Whatever I buy is easily available at this application for rent that is why I stop buying for applications like voonik roposo and started renting it from here']
Parrot Nik collection is great and all the clothes and dresses are available at great sizes and prices you will be amazed		2	['Parrot Nik collection is great and all the clothes and dresses are available at great sizes and prices you will be amazed']
WhatsApp and Twitter user friendly application you have to rent clothes and save a lot of money on purchases tools application		2	['WhatsApp and Twitter user friendly application you have to rent clothes and save a lot of money on purchases tools application']
W clothing and accessories you can get anything for rent at very cheap price it is absolutely recommended to use		2	['W clothing and accessories you can get anything for rent at very cheap price it is absolutely recommended to use']
Collection is really lovely they have updated it in the recent tab update and I have been loving it ever since		2	['Collection is really lovely they have updated it in the recent tab update and I have been loving it ever since']
Hatsun box and opening the application the customer service help me out and I can rent anything that I want	Good experience	1	['Hatsun box and opening the application the customer service help me out and I can rent anything that I want']
Ring services you should have solutely be using this application again and again absolutely recommended for both men women and children	Use full	2	['Ring services you should have solutely be using this application again and again absolutely recommended for both men women and children']
Close provided is absolutely stunning you can get anything that you want it at least one tenth of the price of MRP of the application are really good to use		2	['Close provided is absolutely stunning you can get anything that you want it at least one tenth of the price of MRP of the application are really good to use']
No clothes are found at this application from time and time again so much better collection than roposo and voonik like application recommended for all		1	['No clothes are found at this application from time and time again so much better collection than roposo and voonik like application recommended for all']
Amazingly girl the people have been working on whatever cloth that you want at a really great raid and it is absolutely stunning		2	['Amazingly girl the people have been working on whatever cloth that you want at a really great raid and it is absolutely stunning']
D at lower prices that is what I love about this application absolutely recommended to use rental clothes		2	['D at lower prices that is what I love about this application absolutely recommended to use rental clothes']
I am totally big fan of this application now since I shifted to Hyderabad I have not been able to use its application please suggest the team to make it so wide and fastly available in all other country parts of the world it is actually a very useful application		2	['I am totally big fan of this application now since I shifted to Hyderabad I have not been able to use its application please suggest the team to make it so wide and fastly available in all other country parts of the world it is actually a very useful application']
Reet application date services provides whatever you want at very cheap price very cool app to use		2	['Reet application date services provides whatever you want at very cheap price very cool app to use']
Have been using this application for quite a few days now and all my friends and I with everyone love it because of their love me I am never never stopping to rent clothes from the application		2	['Have been using this application for quite a few days now and all my friends and I with everyone love it because of their love me I am never never stopping to rent clothes from the application']
Really amazing application for providing all kinds of great services rental services are actually really good you should have solutely use it if you are a fashion lover		2	['Really amazing application for providing all kinds of great services rental services are actually really good you should have solutely use it if you are a fashion lover']
Efficient and effective service and delivery they do the pickup and delivery boy a man at your convenience this is so much better than other applications		2	['Efficient and effective service and delivery they do the pickup and delivery boy a man at your convenience this is so much better than other applications']
Gorgeous user interface helps you to save a lot of money on rental services rather than buying it for accessories you do not use much you like		2	['Gorgeous user interface helps you to save a lot of money on rental services rather than buying it for accessories you do not use much you like']
Kishan the user interface looks really cool even search for a lot of products at a very cheap price from this application renting is so much better than buying		2	['Kishan the user interface looks really cool even search for a lot of products at a very cheap price from this application renting is so much better than buying']
Lovely app and best packaging love the way the buyer boxes are also perfect the clothes we really hygienic and good to use	Loved it.	2	['Lovely app and best packaging love the way the buyer boxes are also perfect the clothes we really hygienic and good to use']
Voonik and officer like application for Android have a good product for this one and at a great price this is one of the best applications you can get		2	['Voonik and officer like application for Android have a good product for this one and at a great price this is one of the best applications you can get']
Shopping in men shopping is so much easier with us application you have no idea it is absolutely great to use		2	['Shopping in men shopping is so much easier with us application you have no idea it is absolutely great to use']
One of the best applications it provides you're gorgeous collections of whatever accessories that I want on demand no problems at all		2	["One of the best applications it provides you're gorgeous collections of whatever accessories that I want on demand no problems at all"]
